@relation cerealWithVitamin,,,,,,,,,,,
,,,,,,,,,,,
@attribute cerealName string,,,,,,,,,,,
@attribute cal real,,,,,,,,,,,
@attribute protein real,,,,,,,,,,,
@attribute fat real,,,,,,,,,,,
@attribute sodium real,,,,,,,,,,,
@attribute fiber real,,,,,,,,,,,
@attribute carbo real,,,,,,,,,,,
@attribute suger real,,,,,,,,,,,
@attribute potassium real,,,,,,,,,,,
@attribute vitamin real,,,,,,,,,,,
@attribute shelf real,,,,,,,,,,,
@attribute rating real,,,,,,,,,,,
,,,,,,,,,,
@data,,,,,,,,,,,
,,,,,,,,,,,
1,70,4,1,130,10,5,6,280,25,3,68.402973
2,120,3,5,15,2,8,8,135,0,3,33.983679
3,70,4,1,260,9,7,5,320,25,3,59.425505
4,50,4,0,140,14,8,0,330,25,3,93.704912
5,110,2,2,180,1.5,10.5,10,70,25,1,29.509541
6,110,2,0,125,1,11,14,30,25,2,33.174094
7,130,3,2,210,2,18,8,100,25,3,37.038562
8,90,2,1,200,4,15,6,125,25,1,49.120253
9,90,3,0,210,5,13,5,190,25,3,53.313813
10,120,1,2,220,0,12,12,35,25,2,18.042851
11,110,6,2,290,2,17,1,105,25,1,50.764999
12,120,1,3,210,0,13,9,45,25,2,19.823573
13,110,3,2,140,2,13,7,105,25,3,40.400208
14,110,1,1,180,0,12,13,55,25,2,22.736446
15,110,2,0,280,0,22,3,25,25,1,41.445019
16,100,2,0,290,1,21,2,35,25,1,45.863324
17,110,1,0,90,1,13,12,20,25,2,35.782791
18,110,1,1,180,0,12,13,65,25,2,22.396513
19,110,3,3,140,4,10,7,160,25,3,40.448772
20,110,2,0,220,1,21,3,30,25,3,46.895644
21,100,2,1,140,2,11,10,120,25,3,36.176196
22,100,2,0,190,1,18,5,80,25,3,44.330856
23,110,2,1,125,1,11,13,30,25,2,32.207582
24,110,1,0,200,1,14,11,25,25,1,31.435973
25,100,3,0,0,3,14,7,100,25,2,58.345141
26,120,3,2,160,5,12,10,200,25,3,40.917047
27,120,3,0,240,5,14,12,190,25,3,41.015492
28,110,1,1,135,0,13,12,25,25,2,28.025765
29,100,2,0,45,0,11,15,40,25,1,35.252444
30,110,1,1,280,0,15,9,45,25,2,23.804043
31,100,3,1,140,3,15,5,85,25,3,52.076897
32,110,3,0,170,3,17,3,90,25,3,53.371007
33,120,3,3,75,3,13,4,100,25,3,45.811716
34,120,1,2,220,1,12,11,45,25,2,21.871292
35,110,3,1,250,1.5,11.5,10,90,25,1,31.072217
36,110,1,0,180,0,14,11,35,25,1,28.742414
37,110,2,1,170,1,17,6,60,100,3,36.523683
38,140,3,1,170,2,20,9,95,100,3,36.471512
39,110,2,1,260,0,21,3,40,25,2,39.241114
40,100,4,2,150,2,12,6,95,25,2,45.328074
41,110,2,1,180,0,12,12,55,25,2,26.734515
42,100,4,1,0,0,16,3,95,25,2,54.850917
43,150,4,3,95,3,16,11,170,25,3,37.136863
44,150,4,3,150,3,16,11,170,25,3,34.139765
45,160,3,2,150,3,17,13,160,25,3,30.313351
46,100,2,1,220,2,15,6,90,25,1,40.105965
47,120,2,1,190,0,15,9,40,25,2,29.924285
48,140,3,2,220,3,21,7,130,25,3,40.69232
49,90,3,0,170,3,18,2,90,25,3,59.642837
50,130,3,2,170,1.5,13.5,10,120,25,3,30.450843
51,120,3,1,200,6,11,14,260,25,3,37.840594
52,100,3,0,320,1,20,3,45,100,3,41.50354
53,50,1,0,0,0,13,0,15,0,3,60.756112
54,50,2,0,0,1,10,0,50,0,3,63.005645
55,100,4,1,135,2,14,6,110,25,3,49.511874
56,100,5,2,0,2.7,-1,-1,110,0,1,50.828392
57,120,3,1,210,5,14,12,240,25,2,39.259197
58,100,3,2,140,2.5,10.5,8,140,25,3,39.7034
59,90,2,0,0,2,15,6,110,25,3,55.333142
60,110,1,0,240,0,23,2,30,25,1,41.998933
61,110,2,0,290,0,22,3,35,25,1,40.560159
62,80,2,0,0,3,16,0,95,0,1,68.235885
63,90,3,0,0,4,19,0,140,0,1,74.472949
64,90,3,0,0,3,20,0,120,0,1,72.801787
65,110,2,1,70,1,9,15,40,25,2,31.230054
66,110,6,0,230,1,16,3,55,25,1,53.131324
67,90,2,0,15,3,15,5,90,25,2,59.363993
68,110,2,1,200,0,21,3,35,100,3,38.839746
69,140,3,1,190,4,15,14,230,100,3,28.592785
70,100,3,1,200,3,16,3,110,100,3,46.658844
71,110,2,1,250,0,21,3,60,25,3,39.106174
72,110,1,1,140,0,13,12,25,25,2,27.753301
73,100,3,1,230,3,17,3,115,25,1,49.787445
74,100,3,1,200,3,17,3,110,25,1,51.592193
75,110,2,1,200,1,16,8,60,25,1,36.187559
